id,text,language,llm_prediction
msg_0001,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le agbo la dzi. Esia dze egɔme tso ŋdi sia me.,ew,YES
msg_0002,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0003,The system is not allowing me to complete my payment for the application. I also cleared my cache and still faced the same problem.,en,YES
msg_0004,"Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0005,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe bi wɔ hɔ a wɔde ma a.,ak,YES
msg_0006,"Nye kaɖi kple MOMO le dɔ wɔm le teƒe bubuwo, gake le mɔzɔgbalẽa ƒe nyatakakadzraɖoƒe la nyemate ŋu axe fea o. Esia dze egɔme tso ŋdi sia me.",ew,YES
msg_0007,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le nyatakakadzraɖoƒea. Medze agbagba to web-browser vovovowo zazã me gake nya la gakpɔtɔ li.,ew,YES
msg_0008,The system is not allowing me to complete my payment for the application. I am doing this from Accra using a stable internet connection.,en,YES
msg_0009,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.,ak,YES
msg_0010,"I am trying to pay the passport fee but the payment keeps failing on the portal. There was no clear error code, just a generic failure message.",en,YES
msg_0011,"Nhyehyɛe no mma me kwan sɛ menwie me ka wɔ application no ho. Na mfomso koodu biara nni hɔ a emu da hɔ, na ɛyɛ generic failution message kɛkɛ.",ak,YES
msg_0012,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0013,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. Please check from your side if there is a system issue.",en,YES
msg_0014,"Be fɛɛ be ni makliki nyɔmɔwoo nɔ lɛ, baafa lɛ shwieɔ shi loo etsɔɔ tɔmɔ ko ni nibii ni akɛtsuɔ nii lɛ eyaaa mli. Enɛ je shishi leebi nɛɛ.",ga,YES
msg_0015,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔbiagbalẽvia ta nu o. Esia le nye mɔzɔzɔ ŋuti ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
msg_0016,"Ɣesiaɣi si mezi fetu dzi la, axaa tsia tsikpe alo ɖea vodada aɖe fiana eye asitsatsa la metoa eme o. Kpe ɖe ŋunye nyuie be makpɔ esia gbɔ ale be mate ŋu ayi nye dɔwɔnua dzi.",ew,NO
msg_0017,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Nkran.,ak,YES
msg_0018,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I have tried using different browsers but the issue remains.",en,YES
msg_0019,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le agbo la dzi. Esia le nye mɔzɔzɔ ŋuti ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
msg_0020,I am trying to pay the passport fee but the payment keeps failing on the portal. I have been trying for the past two hours without success.,en,YES
msg_0021,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Yɛsrɛ sɛ hwɛ fi wo nkyɛn sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.",ak,YES
msg_0022,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Eyi fii ase sii anɔpa yi.",ak,YES
msg_0023,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. There was no clear error code, just a generic failure message.",en,YES
msg_0024,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Eyi retwentwɛn m’akwantu nhyehyɛe ase na mihia mmoa ntɛm ara.,ak,YES
msg_0025,"Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0026,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Yɛsrɛ sɛ hwɛ fi wo nkyɛn sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.",ak,YES
msg_0027,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Yɛsrɛ sɛ hwɛ fi wo nkyɛn sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.",ak,YES
msg_0028,Nhyehyɛe no mma me kwan sɛ minwie me ka wɔ application no ho. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0029,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.,ak,YES
msg_0030,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.",ak,YES
msg_0031,Nhyehyɛe no mma me kwan sɛ minwie me ka wɔ application no ho. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0032,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. Kindly assist me to resolve this so I can continue my application.",en,YES
msg_0033,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. I have been trying for the past two hours without success.",en,YES
msg_0034,Nhyehyɛe no mma mintumi nwie m’akatua wɔ akwammisa krataa no ho. Mabɔ mmɔden nnɔnhwerew abien a atwam ni a entumi nyɛ yiye.,ak,YES
msg_0035,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0036,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I have tried using different browsers but the issue remains.",en,YES
msg_0037,Mibɔ mɔdɛŋ shii abɔ ŋmɛnɛ shi portal lɛ yaa nɔ ekpooɔ nibii ni akɛtsuɔ nii lɛ. Mijieɔ mi cache lɛ hu ni mikɛ naagba nɛɛ nɔŋŋ kpeɔ lolo.,ga,YES
msg_0038,I have attempted payment several times today but the portal keeps rejecting the transaction. I am doing this from Accra using a stable internet connection.,en,YES
msg_0039,The system is not allowing me to complete my payment for the application. I even tried using another laptop but nothing changed.,en,YES
msg_0040,"Nye kaɖi kple MOMO le dɔ wɔm le teƒe bubuwo, gake le mɔzɔgbalẽa ƒe nyatakakadzraɖoƒe la nyemate ŋu axe fea o. Akpe ɖe ŋunye nyuie be makpɔ esia gbɔ ale be mate ŋu ayi nye dɔbiagbalẽvia dzi.",ew,YES
msg_0041,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.,ak,YES
msg_0042,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Eyi fii ase sii anɔpa yi.",ak,YES
msg_0043,Gbɛjianɔtoo lɛ haaa magbe minitsumɔ lɛ he nyɔmɔwoo lɛ naa. Enɛ je shishi leebi nɛɛ.,ga,YES
msg_0044,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Eyi rekyɛ m’akwantu nhyehyɛe na mihia mmoa ntɛm ara.",ak,YES
msg_0045,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.",ak,YES
msg_0046,The system is not allowing me to complete my payment for the application. Please check from your side if there is a system issue.,en,YES
